1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2501.04848_2228432_5	Built on GPT-4o-mini model, \msp is designed to augment malware analysis for Android through a hierarchical-tiered summarization chain and strategic prompt engineering.
2501.05647_2229231_9	The device determines whether a new candidate list is needed by comparing the consistency of the LLM's and SRM's sorted lists.
2501.06137_2229721_6	We validate our simulation results with several real-world datasets, including one with over a million ChatGPT interactions, of which more than 150,000 conversations were identified as risky.
2501.07641_2231225_0	  Large Language Models (LLMs), such as GPT, are considered to learn the latent distributions within large-scale web-crawl datasets and accomplish natural language processing (NLP) tasks by predicting the next token.
2501.07824_2231408_2	To address this, while many previous work has focused on identifying errors in their generation and further refining them, they are slow in deployment since they are designed to verify the response from LLMs only after their entire generation (from the first to last tokens) is done.
2501.07824_2231408_5	Specifically, the proposed Streaming-VR enables on-the-fly verification and correction of tokens as they are being generated, similar to a streaming process, ensuring that each subset of tokens is checked and refined in real-time by another LLM as the LLM constructs its response.
2501.07837_2231421_4	Initially, domain-fine-tuning of the LLM is performed using a constructed railway knowledge question-and-answer dataset to improve answer accuracy in railway-related questions.
2501.07837_2231421_9	Finally, the fault handling capability of IDAS-LLM is demonstrated through simulations of real operational scenarios, proving that the proposed framework has practical application prospects.
2501.07857_2231441_4	First, smaller code units such as functions and variables are identified using syntax analysis and summarized with local LLMs.
2501.10134_2233718_3	In this article, thematic analysis has been performed on seven essays obtained from professionals in the education sector to understand the advantages and pitfalls of using GenAI models such as ChatGPT and Bard in education.
2501.10300_2233884_5	The ontology was developed utilizing suggestions from ChatGPT-3.5-010422 and validated using peer-reviewed research articles.
2501.10326_2233910_2	In academic publications, this phenomenon is represented during the incorporation of LLMs into the peer review mechanism for reviewing manuscripts.
2501.10685_2234269_3	For instance, the ethical aspects of AI with respect to data privacy, transparency, and mitigation of bias are also covered, with the goal of promoting responsible use of the technology through best practices and the use of new technologies businesses can tap into the LLM potential, which help growth and stay one step ahead in the turmoil of digital marketing.
2501.11114_2234698_5	Our results are promising with regard to the incorporation of LLMs for simple cohort selection tasks, but also highlight the difficulties encountered by these models as soon as fine-grained knowledge and reasoning are required.
2501.11935_2235519_0	  LLMs such as ChatGPT have been widely adopted by students in higher education as tools for learning programming and related concepts.
2501.11979_2235563_3	We iteratively refine the prompt by treating the deviation between the LLM output and the desired result as an error term until the output criteria are met.
2501.12332_2235916_5	To address this, we propose Retrieval Augmented Classification (RAC) for which LLM performs inferences for one label at a time using corresponding label schema; we start with the most related label and iterates until a label is chosen by the LLM.
2501.13381_2236965_8	Several interesting findings regarding LLMs' conformity are derived from empirical results and case studies.
2501.15875_2239459_2	In response, benchmarks focusing on the controllability of LLMs have been developed, but several issues remain: (1) They primarily cover major languages like English and Chinese, neglecting low-resource languages like Japanese; (2) Current benchmarks employ task-specific evaluation metrics, lacking a unified framework for selecting models based on controllability across different use cases.
2501.16149_2239733_7	These stages are performed interactively by LLMs, aiming to simulate the collaborative behavior of programmers during the resolution of software bugs.
2501.16466_2240050_4	Rather than LLMs issuing low-level command-line instructions, which can lead to incorrect implementations, Incalmo allows LLMs to specify high-level tasks (e.g., infect a host, scan a network), which are then carried out by Incalmo.
2501.17024_2240608_5	Our findings underscore the potential of LLMs to achieve tasks where, in the past, implementing recommenders based on complex code analyses was required.
2501.18816_2242400_3	Furthermore, these approaches depend on the LLM to output solutions in an intermediate language, which must be translated into the representation language of the planning task.
